Date,HomeTeam,AwayTeam,FTHG,FTAG,home_form_last5,away_form_last5,home_goals_scored_last5,away_goals_scored_last5,home_goals_conceded_last5,away_goals_conceded_last5,home_goals_diff_last5,away_goals_diff_last5,home_win_rate_last5,away_win_rate_last5,head2head_form_last3,head2head_goal_diff_last3,FTR
2019-11-22,Club brugge,Oostende,2,0,2.0,0.2,1.6,0.8,0.6,1.8,1.0,-1.0,0.6,0.0,3.0,2.0,1
2019-11-23,Eupen,Standard,1,2,2.0,1.4,1.4,1.2,0.8,1.2,0.6,0.0,0.6,0.4,0.0,-3.0,-1
2019-11-23,Mechelen,Waregem,0,2,2.0,1.2,2.2,1.0,1.4,1.4,0.8,-0.4,0.6,0.4,3.0,2.0,-1
2019-11-23,Waasland-beveren,Cercle brugge,1,1,0.6,0.8,1.0,1.0,2.0,1.8,-1.0,-0.8,0.2,0.2,0.0,-1.0,0
2019-11-23,Mouscron,Genk,2,2,1.0,0.8,1.4,0.6,1.4,1.4,0.0,-0.8,0.2,0.2,0.0,-1.0,0
2019-11-24,Gent,Antwerp,1,1,1.6,2.0,2.0,2.2,1.4,1.8,0.6,0.4,0.4,0.6,0.0,-1.0,0
2019-11-24,Anderlecht,Kortrijk,0,0,2.2,0.6,2.2,1.0,1.2,2.2,1.0,-1.2,0.6,0.2,0.0,-2.0,0
2019-11-24,St truiden,Charleroi,1,3,1.4,2.6,1.0,1.6,1.4,0.4,-0.4,1.2,0.4,0.8,3.0,3.0,-1
2019-11-29,Antwerp,Mechelen,1,0,1.6,1.4,1.8,1.6,1.8,1.6,0.0,0.0,0.4,0.4,0.0,-2.0,1
2019-11-30,Club brugge,Mouscron,1,0,2.0,1.2,1.8,1.8,0.6,1.6,1.2,0.2,0.6,0.2,3.0,1.0,1
2019-11-30,Charleroi,Waasland-beveren,2,0,2.6,0.8,1.6,1.2,0.6,1.8,1.0,-0.6,0.8,0.2,3.0,4.0,1
2019-11-30,Waregem,Eupen,1,0,1.8,1.4,1.4,1.0,1.0,0.8,0.4,0.2,0.6,0.4,1.0,0.0,1
2019-11-30,Genk,St truiden,1,2,1.0,1.4,1.0,1.0,1.6,1.2,-0.6,-0.2,0.2,0.4,1.0,0.0,-1
2019-12-01,Kortrijk,Gent,0,2,0.2,1.6,0.6,2.2,2.2,1.6,-1.6,0.6,0.0,0.4,0.0,-2.0,-1
2019-12-01,Standard,Cercle brugge,2,1,1.4,1.0,1.4,1.2,1.4,1.4,0.0,-0.2,0.4,0.2,3.0,2.0,1
2019-12-01,Oostende,Anderlecht,3,2,0.2,1.8,0.4,1.4,1.6,1.0,-1.2,0.4,0.0,0.4,3.0,1.0,1
2019-12-06,Waasland-beveren,Antwerp,0,4,0.8,2.0,1.0,1.6,1.6,1.4,-0.6,0.2,0.2,0.6,0.0,-3.0,-1
2019-12-07,St truiden,Club brugge,1,2,1.8,2.4,1.4,1.8,1.4,0.4,0.0,1.4,0.6,0.8,0.0,-6.0,-1
2019-12-07,Mechelen,Kortrijk,1,1,0.8,0.2,1.0,0.4,1.6,2.0,-0.6,-1.6,0.2,0.0,3.0,1.0,0
2019-12-07,Cercle brugge,Genk,1,2,1.0,0.4,1.4,1.0,1.6,2.0,-0.2,-1.0,0.2,0.0,0.0,-1.0,-1
2019-12-07,Gent,Waregem,2,0,2.0,1.8,2.0,1.2,1.0,1.0,1.0,0.2,0.6,0.6,1.0,0.0,1
2019-12-08,Mouscron,Standard,2,2,1.2,1.8,1.8,1.6,1.6,1.4,0.2,0.2,0.2,0.6,0.0,-3.0,0
2019-12-08,Anderlecht,Charleroi,0,0,1.6,2.6,1.8,1.8,1.6,0.6,0.2,1.2,0.4,0.8,3.0,1.0,0
2019-12-08,Eupen,Oostende,1,0,1.2,0.8,1.0,1.0,1.0,1.6,0.0,-0.6,0.4,0.2,3.0,1.0,1
2019-12-13,Kortrijk,Mouscron,1,2,0.4,1.2,0.4,1.8,1.8,1.6,-1.4,0.2,0.0,0.2,0.0,-2.0,-1
2019-12-14,Antwerp,Eupen,1,0,2.6,1.2,2.2,0.8,0.8,0.8,1.4,0.0,0.8,0.4,3.0,3.0,1
2019-12-14,Charleroi,Cercle brugge,3,0,2.2,0.8,1.6,1.2,0.6,1.6,1.0,-0.4,0.6,0.2,3.0,3.0,1
2019-12-14,Waregem,St truiden,5,1,1.8,1.2,1.2,1.2,1.0,1.6,0.2,-0.4,0.6,0.4,1.0,0.0,1
2019-12-14,Genk,Waasland-beveren,4,1,0.8,0.8,1.0,1.0,1.8,2.0,-0.8,-1.0,0.2,0.2,3.0,4.0,1
2019-12-15,Standard,Anderlecht,1,1,1.4,1.6,1.6,1.2,1.8,1.0,-0.2,0.2,0.4,0.4,0.0,-1.0,0
2019-12-15,Club brugge,Mechelen,3,0,2.4,1.0,1.8,1.0,0.6,1.4,1.2,-0.4,0.8,0.2,3.0,5.0,1
2019-12-15,Oostende,Gent,2,1,0.8,2.0,1.0,1.8,1.6,0.8,-0.6,1.0,0.2,0.6,0.0,-2.0,1
2019-12-20,Mechelen,Oostende,1,0,0.8,1.4,0.6,1.4,1.6,1.6,-1.0,-0.2,0.2,0.4,0.0,-1.0,1
2019-12-21,Eupen,Kortrijk,1,2,0.6,0.4,0.4,0.6,1.0,1.6,-0.6,-1.0,0.2,0.0,3.0,1.0,-1
2019-12-21,Waasland-beveren,Standard,2,1,0.8,1.6,1.0,1.6,2.4,1.4,-1.4,0.2,0.2,0.4,0.0,-2.0,1
2019-12-21,Mouscron,Charleroi,1,1,1.2,2.6,1.6,1.8,1.6,0.2,0.0,1.6,0.2,0.8,0.0,-1.0,0
2019-12-21,Cercle brugge,Waregem,2,0,0.8,1.8,1.0,1.8,1.8,1.0,-0.8,0.8,0.2,0.6,0.0,-6.0,1
